Measurment Log: Wed Jun 12 17:04:20 2019

scan_span: 1081
ang_inc: 0.004363
side_range: 50
padding: 15
av_range: 30
min_range: 0
min_permit_dist: 0.400000
center, right, left, farthest, nearest, front_clear, right_clear, left_clear
2.034000,1.282000,0.355000,4.368000,0.332000,1,1,0
2.034000,1.288000,0.354000,4.364000,0.335000,1,1,0
2.033000,1.281000,0.360000,4.348000,0.335000,1,1,0
2.040000,1.334000,0.355000,4.355000,0.336000,1,1,0
2.039000,1.358000,0.354000,4.369000,0.334000,1,1,0
2.034000,1.372000,0.351000,4.362000,0.338000,1,1,0
2.040000,1.395000,0.354000,4.361000,0.331000,1,1,0
2.032000,1.396000,0.360000,4.366000,0.335000,1,1,0
2.034000,1.451000,0.369000,4.372000,0.332000,1,1,0
2.039000,1.471000,0.357000,4.353000,0.335000,1,1,0
2.029000,1.480000,0.360000,4.365000,0.333000,1,1,0
2.038000,1.529000,0.369000,4.347000,0.339000,1,1,0
2.028000,1.549000,0.363000,4.363000,0.338000,1,1,0
2.036000,1.585000,0.363000,4.355000,0.339000,1,1,0
2.042000,1.606000,0.354000,4.352000,0.337000,1,1,0
2.024000,1.644000,0.363000,4.348000,0.347000,1,1,0
2.041000,1.697000,0.355000,4.364000,0.337000,1,1,0
2.033000,1.803000,0.368000,4.363000,0.348000,1,1,0
2.026000,1.863000,0.360000,4.362000,0.345000,1,1,0
2.040000,1.850000,0.361000,4.348000,0.342000,1,1,0
2.030000,1.852000,0.369000,4.367000,0.346000,1,1,0
2.044000,1.861000,0.369000,4.358000,0.337000,1,1,0
2.036000,1.860000,0.360000,4.347000,0.346000,1,1,0
2.033000,1.852000,0.373000,4.358000,0.342000,1,1,0
2.034000,1.860000,0.372000,4.355000,0.347000,1,1,0
2.051000,1.854000,0.368000,4.357000,0.348000,1,1,0
2.039000,1.854000,0.355000,4.342000,0.346000,1,1,0
2.049000,1.867000,0.375000,4.350000,0.346000,1,1,0
2.043000,1.856000,0.364000,4.362000,0.353000,1,1,0
2.056000,1.862000,0.368000,4.346000,0.353000,1,1,0
2.049000,1.850000,0.366000,4.342000,0.345000,1,1,0
2.050000,1.852000,0.359000,4.354000,0.349000,1,1,0
2.046000,1.858000,0.369000,4.349000,0.349000,1,1,0
2.033000,1.854000,0.373000,4.341000,0.346000,1,1,0
2.038000,1.856000,0.372000,4.349000,0.354000,1,1,0
2.044000,1.853000,0.375000,4.343000,0.357000,1,1,0
2.034000,1.855000,0.376000,4.353000,0.350000,1,1,0
2.039000,1.850000,0.372000,4.358000,0.353000,1,1,0
2.042000,1.853000,0.378000,4.352000,0.354000,1,1,0
2.041000,1.852000,0.376000,4.347000,0.357000,1,1,0
2.040000,1.844000,0.376000,4.341000,0.355000,1,1,0
2.036000,1.851000,0.377000,4.351000,0.353000,1,1,0
2.041000,1.849000,0.383000,4.345000,0.347000,1,1,0
2.042000,1.849000,0.372000,4.352000,0.349000,1,1,0
2.039000,1.840000,0.377000,4.342000,0.351000,1,1,0
2.031000,1.845000,0.366000,4.334000,0.359000,1,1,0
2.035000,1.849000,0.374000,4.334000,0.355000,1,1,0
2.039000,1.844000,0.379000,4.337000,0.354000,1,1,0
2.035000,1.839000,0.376000,4.342000,0.351000,1,1,0
2.040000,1.843000,0.380000,4.333000,0.355000,1,1,0
2.035000,1.837000,0.379000,4.361000,0.354000,1,1,0
2.045000,1.831000,0.372000,4.345000,0.357000,1,1,0
2.029000,1.836000,0.376000,4.343000,0.360000,1,1,0
2.037000,1.840000,0.380000,4.349000,0.361000,1,1,0
2.045000,1.833000,0.370000,4.345000,0.361000,1,1,0
2.028000,1.831000,0.374000,4.332000,0.360000,1,1,0
2.038000,1.835000,0.382000,4.337000,0.361000,1,1,0
2.033000,1.837000,0.380000,4.338000,0.362000,1,1,0
2.036000,1.831000,0.379000,4.348000,0.362000,1,1,0
2.042000,1.840000,0.386000,4.337000,0.361000,1,1,0
2.044000,1.831000,0.387000,4.338000,0.364000,1,1,0
2.044000,1.822000,0.391000,4.342000,0.370000,1,1,0
2.044000,1.835000,0.431000,4.343000,0.363000,1,1,0
2.033000,1.827000,0.430000,4.333000,0.365000,1,1,0
2.039000,1.830000,0.434000,4.324000,0.362000,1,1,0
2.043000,1.828000,0.434000,4.327000,0.347000,1,1,0
2.034000,1.827000,0.420000,4.332000,0.268000,1,1,0
2.051000,1.826000,0.431000,4.336000,0.264000,1,1,0
2.037000,1.829000,0.417000,4.330000,0.266000,1,1,0
2.038000,1.828000,0.417000,4.338000,0.277000,1,1,0
2.040000,1.824000,0.412000,4.335000,0.369000,1,1,0
2.038000,1.833000,0.406000,4.328000,0.364000,1,1,0
2.037000,1.831000,0.424000,4.333000,0.372000,1,1,0
2.042000,1.826000,0.402000,4.331000,0.369000,1,1,0
2.039000,1.830000,0.405000,4.340000,0.369000,1,1,0
2.039000,1.820000,0.401000,4.335000,0.367000,1,1,0
2.042000,1.827000,0.390000,4.329000,0.365000,1,1,0
2.030000,1.831000,0.385000,4.321000,0.366000,1,1,0
2.027000,1.824000,0.377000,4.330000,0.372000,1,1,0
2.025000,1.820000,0.393000,4.318000,0.378000,1,1,0
2.028000,1.815000,0.383000,4.315000,0.376000,1,1,0
2.024000,1.815000,0.391000,4.294000,0.375000,1,1,0
1.928000,1.817000,0.401000,4.234000,0.375000,1,1,0
